date,channel,campaign,spend,impressions,clicks,conversions
2025-03-16,email,welcome_drip,2.53,264,11,0
2025-03-16,email,reactivation,7.63,1872,52,4
2025-03-16,email,weekly_newsletter,5.02,805,23,1
2025-03-16,email,product_update,5.17,816,48,2
2025-03-17,google_ads,brand_search,257.9,8970,230,4
2025-03-17,google_ads,competitor_kw,168.9,1848,84,4
2025-03-17,google_ads,retargeting_display,171.31,2079,77,1
2025-03-17,meta_ads,lookalike_broad,111.89,2772,77,1
2025-03-17,meta_ads,retargeting_web,128.7,1648,103,2
2025-03-17,meta_ads,video_awareness,157.33,2581,89,3
2025-03-17,meta_ads,lead_gen_form,73.29,2592,72,1
2025-03-17,linkedin,decision_makers,47.29,126,7,0
2025-03-17,linkedin,saas_founders,46.27,180,9,0
2025-03-17,linkedin,enterprise_it,79.97,396,11,0
2025-03-17,organic,organic_traffic,0.0,1725,754,18
2025-03-17,email,welcome_drip,18.51,4292,116,5
2025-03-17,email,reactivation,14.66,1904,56,2
2025-03-17,email,weekly_newsletter,6.72,1612,62,4
2025-03-17,email,product_update,13.48,1500,50,3
2025-03-18,google_ads,brand_search,96.51,833,49,2
2025-03-18,google_ads,competitor_kw,202.07,6560,205,6
2025-03-18,google_ads,retargeting_display,207.15,7648,239,5
2025-03-18,google_ads,shopping_feed,157.3,2592,162,6
2025-03-18,meta_ads,lookalike_broad,115.88,3886,134,2
2025-03-18,meta_ads,video_awareness,176.98,5460,140,5
2025-03-18,linkedin,saas_founders,43.74,144,9,0
2025-03-18,linkedin,enterprise_it,79.21,240,10,0
2025-03-18,organic,organic_traffic,0.0,2145,536,26
2025-03-18,email,reactivation,7.51,810,30,1
2025-03-18,email,product_update,16.45,2842,98,4
2025-03-19,google_ads,brand_search,251.8,5054,266,9
2025-03-19,google_ads,retargeting_display,200.83,1722,82,2
2025-03-19,google_ads,shopping_feed,103.51,1888,59,1
2025-03-19,meta_ads,lookalike_broad,107.39,3010,86,1
2025-03-19,meta_ads,retargeting_web,107.77,1040,65,1
2025-03-19,meta_ads,video_awareness,172.32,1984,124,4
2025-03-19,meta_ads,lead_gen_form,173.66,3586,163,5
2025-03-19,linkedin,decision_makers,118.24,324,18,0
2025-03-19,linkedin,saas_founders,77.93,836,22,0
2025-03-19,organic,organic_traffic,0.0,2588,298,29
2025-03-19,email,welcome_drip,8.89,1225,35,1
2025-03-19,email,reactivation,15.23,2697,93,4
2025-03-19,email,product_update,18.17,2511,81,5
2025-03-20,google_ads,competitor_kw,184.27,2775,75,1
2025-03-20,google_ads,retargeting_display,175.86,4200,120,4
2025-03-20,google_ads,shopping_feed,211.16,5390,154,6
2025-03-20,meta_ads,lookalike_broad,177.67,4235,121,3
2025-03-20,meta_ads,retargeting_web,173.95,6272,196,7
2025-03-20,meta_ads,video_awareness,117.25,2100,75,2
2025-03-20,meta_ads,lead_gen_form,96.47,1881,57,1
2025-03-20,linkedin,decision_makers,108.26,252,14,0
2025-03-20,linkedin,saas_founders,110.74,392,14,0
2025-03-20,linkedin,enterprise_it,111.42,925,25,0
2025-03-20,organic,organic_traffic,0.0,824,119,13
2025-03-20,email,welcome_drip,11.8,2765,79,5
2025-03-20,email,reactivation,7.44,1440,40,3
2025-03-20,email,weekly_newsletter,18.82,1950,75,4
2025-03-20,email,product_update,13.72,2627,71,4
2025-03-21,google_ads,brand_search,89.74,2010,67,1
2025-03-21,google_ads,competitor_kw,236.27,2040,102,3
2025-03-21,google_ads,retargeting_display,211.75,2928,122,4
2025-03-21,google_ads,shopping_feed,211.7,3024,112,3
2025-03-21,meta_ads,retargeting_web,67.47,2412,67,1
2025-03-21,meta_ads,lead_gen_form,102.98,3393,87,2
2025-03-21,linkedin,decision_makers,112.56,800,32,0
2025-03-21,linkedin,saas_founders,99.86,264,12,0
2025-03-21,linkedin,enterprise_it,48.77,264,8,0
2025-03-21,organic,organic_traffic,0.0,2619,452,9
2025-03-21,email,welcome_drip,20.27,3078,162,6
2025-03-21,email,reactivation,8.26,629,37,1
2025-03-21,email,weekly_newsletter,13.99,2013,61,3
2025-03-22,google_ads,brand_search,71.86,660,33,1
2025-03-22,google_ads,competitor_kw,84.08,2378,82,1
2025-03-22,google_ads,retargeting_display,94.39,860,43,1
2025-03-22,meta_ads,lookalike_broad,81.26,2130,71,0
2025-03-22,meta_ads,retargeting_web,48.45,1421,49,0
2025-03-22,meta_ads,lead_gen_form,71.25,1488,93,2
2025-03-22,linkedin,saas_founders,27.24,124,4,0
2025-03-22,linkedin,enterprise_it,36.07,385,11,0
2025-03-22,organic,organic_traffic,0.0,2890,591,10
2025-03-22,email,welcome_drip,7.21,1508,52,2
2025-03-22,email,reactivation,2.47,310,10,0
2025-03-22,email,weekly_newsletter,7.09,1080,45,2
2025-03-22,email,product_update,7.91,891,33,2
2025-03-23,google_ads,retargeting_display,38.87,759,33,0
2025-03-23,google_ads,shopping_feed,70.84,1120,35,1
2025-03-23,meta_ads,lookalike_broad,68.98,1748,46,1
2025-03-23,meta_ads,retargeting_web,78.52,720,45,1
2025-03-23,meta_ads,video_awareness,56.6,1020,51,1
2025-03-23,meta_ads,lead_gen_form,64.24,1674,62,0
2025-03-23,linkedin,decision_makers,41.73,481,13,0
2025-03-23,linkedin,saas_founders,42.26,152,8,0
2025-03-23,linkedin,enterprise_it,43.33,217,7,0
2025-03-23,organic,organic_traffic,0.0,752,660,21
2025-03-23,email,welcome_drip,4.84,493,17,0
2025-03-23,email,weekly_newsletter,7.17,714,42,3
2025-03-23,email,product_update,6.08,609,21,1
2025-03-24,google_ads,brand_search,178.55,1560,104,4
2025-03-24,google_ads,competitor_kw,150.26,4824,134,4
2025-03-24,google_ads,retargeting_display,101.04,2394,114,4
2025-03-24,google_ads,shopping_feed,245.22,3441,111,2
2025-03-24,meta_ads,lookalike_broad,153.54,2225,89,1
2025-03-24,meta_ads,retargeting_web,95.21,5115,165,2
2025-03-24,meta_ads,video_awareness,75.86,1155,55,1
2025-03-24,meta_ads,lead_gen_form,106.54,1584,72,2
2025-03-24,linkedin,decision_makers,95.57,646,17,0
2025-03-24,linkedin,saas_founders,53.74,250,10,0
2025-03-24,linkedin,enterprise_it,82.25,228,12,0
2025-03-24,organic,organic_traffic,0.0,740,636,6
2025-03-24,email,welcome_drip,5.3,840,40,2
2025-03-24,email,reactivation,13.81,690,46,3
2025-03-24,email,weekly_newsletter,14.87,3456,128,5
2025-03-24,email,product_update,5.69,925,25,1
2025-03-25,google_ads,brand_search,234.89,3232,202,9
2025-03-25,google_ads,competitor_kw,114.91,2616,109,2
2025-03-25,google_ads,retargeting_display,141.85,1932,69,1
2025-03-25,google_ads,shopping_feed,254.51,3240,162,6
2025-03-25,meta_ads,lookalike_broad,74.34,750,50,1
2025-03-25,meta_ads,video_awareness,137.01,1605,107,2
2025-03-25,meta_ads,lead_gen_form,145.68,4564,163,3
2025-03-25,linkedin,decision_makers,92.91,486,18,0
2025-03-25,linkedin,saas_founders,68.28,192,8,0
2025-03-25,linkedin,enterprise_it,71.97,270,18,0
2025-03-25,organic,organic_traffic,0.0,1693,170,30
2025-03-25,email,welcome_drip,9.14,1632,48,3
2025-03-25,email,reactivation,19.17,2700,75,4
2025-03-25,email,weekly_newsletter,17.62,2240,70,3
2025-03-25,email,product_update,5.58,1710,45,1
2025-03-26,google_ads,brand_search,167.39,4445,127,2
2025-03-26,google_ads,competitor_kw,180.78,2241,83,1
2025-03-26,google_ads,retargeting_display,207.8,5725,229,5
2025-03-26,google_ads,shopping_feed,138.61,3960,99,2
2025-03-26,meta_ads,retargeting_web,163.36,6031,163,6
2025-03-26,meta_ads,video_awareness,184.99,5216,163,4
2025-03-26,meta_ads,lead_gen_form,74.44,2494,86,2
2025-03-26,linkedin,decision_makers,124.04,644,23,0
2025-03-26,linkedin,saas_founders,109.55,858,26,0
2025-03-26,linkedin,enterprise_it,108.61,672,28,0
2025-03-26,organic,organic_traffic,0.0,890,238,29
2025-03-26,email,welcome_drip,7.18,1053,27,1
2025-03-26,email,reactivation,17.19,1798,62,4
2025-03-26,email,weekly_newsletter,10.79,1218,58,3
2025-03-27,google_ads,brand_search,222.57,2380,119,3
2025-03-27,google_ads,competitor_kw,106.52,2940,84,2
2025-03-27,google_ads,retargeting_display,199.09,7178,194,5
2025-03-27,google_ads,shopping_feed,123.68,1634,86,3
2025-03-27,meta_ads,lookalike_broad,113.53,1566,87,1
2025-03-27,meta_ads,retargeting_web,98.48,1020,68,2
2025-03-27,meta_ads,video_awareness,105.43,3128,92,3
2025-03-27,meta_ads,lead_gen_form,184.55,5445,165,2
2025-03-27,linkedin,decision_makers,83.29,322,14,0
2025-03-27,linkedin,saas_founders,105.1,440,20,0
2025-03-27,linkedin,enterprise_it,103.22,837,27,0
2025-03-27,organic,organic_traffic,0.0,1600,220,29
2025-03-27,email,welcome_drip,9.3,736,46,1
2025-03-27,email,weekly_newsletter,5.89,627,33,2
2025-03-27,email,product_update,19.49,5652,157,12
2025-03-28,google_ads,brand_search,95.39,2310,70,3
2025-03-28,google_ads,competitor_kw,259.61,3840,120,3
2025-03-28,google_ads,shopping_feed,233.3,7141,193,5
2025-03-28,meta_ads,lookalike_broad,129.15,1552,97,3
2025-03-28,meta_ads,retargeting_web,164.43,9075,275,3
2025-03-28,meta_ads,lead_gen_form,128.2,2788,82,2
2025-03-28,linkedin,decision_makers,97.94,722,19,0
2025-03-28,organic,organic_traffic,0.0,1410,233,11
2025-03-28,email,welcome_drip,14.28,4410,126,9
2025-03-28,email,reactivation,14.15,1180,59,3
2025-03-28,email,product_update,18.97,3605,103,7
2025-03-29,google_ads,brand_search,103.25,1260,63,1
2025-03-29,google_ads,competitor_kw,90.47,2400,75,3
2025-03-29,google_ads,retargeting_display,93.14,1517,41,1
2025-03-29,google_ads,shopping_feed,43.33,272,17,0
2025-03-29,meta_ads,lookalike_broad,32.56,665,35,1
2025-03-29,meta_ads,retargeting_web,48.0,2040,68,1
2025-03-29,meta_ads,video_awareness,37.96,999,27,0
2025-03-29,linkedin,decision_makers,23.99,75,3,0
2025-03-29,linkedin,saas_founders,25.47,189,7,0
2025-03-29,linkedin,enterprise_it,44.22,400,10,0
2025-03-29,organic,organic_traffic,0.0,803,450,10
2025-03-29,email,welcome_drip,8.18,924,33,1
2025-03-29,email,weekly_newsletter,6.64,1980,60,1
2025-03-30,google_ads,brand_search,77.49,1640,41,1
2025-03-30,google_ads,competitor_kw,46.35,592,37,0
2025-03-30,google_ads,retargeting_display,62.56,1260,42,1
2025-03-30,google_ads,shopping_feed,35.74,280,14,0
2025-03-30,meta_ads,lookalike_broad,83.04,1323,49,1
2025-03-30,meta_ads,retargeting_web,65.75,1692,94,2
2025-03-30,meta_ads,video_awareness,48.89,3026,89,1
2025-03-30,meta_ads,lead_gen_form,52.64,1258,34,1
2025-03-30,linkedin,decision_makers,40.89,150,5,0
2025-03-30,linkedin,saas_founders,21.15,80,5,0
2025-03-30,linkedin,enterprise_it,37.79,180,6,0
2025-03-30,organic,organic_traffic,0.0,870,391,5
2025-03-30,email,welcome_drip,7.43,600,40,2
2025-03-30,email,weekly_newsletter,7.96,728,28,1
2025-03-30,email,product_update,8.11,1836,51,3
2025-03-31,google_ads,brand_search,129.37,4880,122,5
2025-03-31,google_ads,retargeting_display,135.46,2775,75,2
2025-03-31,google_ads,shopping_feed,172.89,6240,156,5
2025-03-31,meta_ads,lookalike_broad,94.92,1728,96,3
2025-03-31,meta_ads,video_awareness,188.71,3276,117,4
2025-03-31,meta_ads,lead_gen_form,74.17,4992,128,4
2025-03-31,linkedin,saas_founders,121.92,625,25,0
2025-03-31,linkedin,enterprise_it,67.57,480,20,0
2025-03-31,organic,organic_traffic,0.0,1048,450,20
2025-03-31,email,welcome_drip,11.49,1518,46,3
2025-03-31,email,reactivation,14.47,2358,131,7
2025-03-31,email,weekly_newsletter,15.52,2178,121,8
2025-03-31,email,product_update,20.38,2037,97,2
2025-04-01,google_ads,retargeting_display,173.84,2040,85,2
2025-04-01,google_ads,shopping_feed,149.71,2310,66,1
2025-04-01,meta_ads,lookalike_broad,184.54,8640,216,7
2025-04-01,meta_ads,retargeting_web,188.9,5928,152,1
2025-04-01,meta_ads,video_awareness,200.19,8568,238,7
2025-04-01,meta_ads,lead_gen_form,140.63,3395,97,3
2025-04-01,linkedin,saas_founders,114.64,432,27,0
2025-04-01,organic,organic_traffic,0.0,2319,686,19
2025-04-01,email,reactivation,5.58,840,21,1
2025-04-01,email,weekly_newsletter,6.16,810,27,0
2025-04-01,email,product_update,18.02,1920,64,2
2025-04-02,google_ads,brand_search,118.6,1925,55,2
2025-04-02,google_ads,competitor_kw,257.11,9021,291,12
2025-04-02,google_ads,retargeting_display,103.46,990,45,1
2025-04-02,meta_ads,lookalike_broad,174.67,2562,122,3
2025-04-02,meta_ads,video_awareness,89.99,2160,60,1
2025-04-02,meta_ads,lead_gen_form,65.5,2736,114,1
2025-04-02,linkedin,decision_makers,80.78,513,19,0
2025-04-02,linkedin,saas_founders,123.53,1360,40,0
2025-04-02,linkedin,enterprise_it,92.3,828,23,0
2025-04-02,organic,organic_traffic,0.0,666,538,13
2025-04-02,email,welcome_drip,10.56,1024,64,2
2025-04-02,email,reactivation,13.65,3296,103,4
2025-04-02,email,weekly_newsletter,13.73,4824,134,10
2025-04-02,email,product_update,17.96,5301,171,8
2025-04-03,google_ads,competitor_kw,119.49,1764,49,1
2025-04-03,google_ads,retargeting_display,234.14,3922,106,3
2025-04-03,google_ads,shopping_feed,188.41,3200,100,2
2025-04-03,meta_ads,retargeting_web,138.22,5724,159,2
2025-04-03,meta_ads,video_awareness,107.37,915,61,1
2025-04-03,meta_ads,lead_gen_form,204.13,6665,215,3
2025-04-03,linkedin,saas_founders,106.09,713,31,0
2025-04-03,organic,organic_traffic,0.0,1460,202,14
2025-04-03,email,welcome_drip,15.1,2175,87,6
2025-04-03,email,reactivation,16.11,1890,63,4
2025-04-03,email,weekly_newsletter,19.39,1440,96,3
2025-04-04,google_ads,brand_search,245.9,3173,167,5
2025-04-04,google_ads,competitor_kw,237.61,5076,141,6
2025-04-04,google_ads,shopping_feed,126.56,1200,75,1
2025-04-04,meta_ads,lookalike_broad,173.7,2975,175,3
2025-04-04,meta_ads,retargeting_web,135.85,6965,199,2
2025-04-04,meta_ads,video_awareness,125.13,3108,111,1
2025-04-04,meta_ads,lead_gen_form,148.52,1275,85,2
2025-04-04,linkedin,decision_makers,83.25,476,14,0
2025-04-04,linkedin,saas_founders,75.09,247,13,0
2025-04-04,linkedin,enterprise_it,50.3,576,16,0
2025-04-04,organic,organic_traffic,0.0,2670,539,12
2025-04-04,email,welcome_drip,18.09,2231,97,4
2025-04-04,email,reactivation,17.85,2849,77,3
2025-04-04,email,weekly_newsletter,15.03,2272,71,3
2025-04-04,email,product_update,18.89,1560,78,5
2025-04-05,google_ads,brand_search,83.26,646,38,0
2025-04-05,google_ads,competitor_kw,104.88,1653,57,1
2025-04-05,google_ads,retargeting_display,90.43,782,46,2
2025-04-05,google_ads,shopping_feed,71.24,1265,55,1
2025-04-05,meta_ads,retargeting_web,58.6,2000,50,1
2025-04-05,meta_ads,video_awareness,82.5,5390,154,2
2025-04-05,meta_ads,lead_gen_form,57.24,1792,56,1
2025-04-05,linkedin,decision_makers,47.82,126,6,0
2025-04-05,organic,organic_traffic,0.0,2517,728,5
2025-04-05,email,welcome_drip,6.07,660,22,1
2025-04-05,email,reactivation,8.1,899,31,1
2025-04-05,email,product_update,3.77,416,16,1
2025-04-06,google_ads,brand_search,62.79,992,31,1
2025-04-06,google_ads,retargeting_display,46.65,864,27,1
2025-04-06,google_ads,shopping_feed,52.25,1092,42,0
2025-04-06,meta_ads,lookalike_broad,63.97,782,46,0
2025-04-06,meta_ads,retargeting_web,45.47,1900,76,2
2025-04-06,meta_ads,video_awareness,81.17,2486,113,4
2025-04-06,meta_ads,lead_gen_form,29.23,644,28,0
2025-04-06,linkedin,decision_makers,21.25,120,4,0
2025-04-06,linkedin,enterprise_it,32.45,130,5,0
2025-04-06,organic,organic_traffic,0.0,2188,366,9
2025-04-06,email,welcome_drip,4.31,420,14,0
2025-04-06,email,reactivation,4.9,396,18,1
2025-04-06,email,weekly_newsletter,6.85,1200,50,3
2025-04-06,email,product_update,2.26,180,12,0
2025-04-07,google_ads,brand_search,228.86,6552,168,5
2025-04-07,google_ads,competitor_kw,153.56,2205,105,3
2025-04-07,google_ads,retargeting_display,207.6,8330,238,6
2025-04-07,google_ads,shopping_feed,127.32,2310,70,3
2025-04-07,meta_ads,retargeting_web,155.41,10760,269,6
2025-04-07,meta_ads,video_awareness,195.94,4995,135,2
2025-04-07,meta_ads,lead_gen_form,172.29,3384,141,3
2025-04-07,linkedin,decision_makers,94.95,756,28,0
2025-04-07,linkedin,saas_founders,50.56,216,12,0
2025-04-07,linkedin,enterprise_it,64.1,240,8,0
2025-04-07,organic,organic_traffic,0.0,1978,671,28
2025-04-07,email,welcome_drip,18.4,2394,114,6
2025-04-07,email,reactivation,8.14,910,35,1
2025-04-07,email,weekly_newsletter,13.79,1625,65,4
2025-04-07,email,product_update,14.05,720,48,2
2025-04-08,google_ads,brand_search,139.19,5312,166,5
2025-04-08,google_ads,competitor_kw,112.93,1911,91,3
2025-04-08,google_ads,retargeting_display,209.07,2544,159,7
2025-04-08,google_ads,shopping_feed,106.52,1364,44,0
2025-04-08,meta_ads,lookalike_broad,172.17,3996,148,2
2025-04-08,meta_ads,retargeting_web,122.74,3597,109,3
2025-04-08,meta_ads,lead_gen_form,200.74,3150,210,3
2025-04-08,linkedin,decision_makers,120.77,684,18,0
2025-04-08,linkedin,saas_founders,51.84,279,9,0
2025-04-08,linkedin,enterprise_it,119.23,667,29,0
2025-04-08,organic,organic_traffic,0.0,1611,778,26
2025-04-08,email,welcome_drip,11.45,1200,40,2
2025-04-08,email,reactivation,13.72,2106,81,6
2025-04-08,email,weekly_newsletter,21.2,3650,146,7
2025-04-08,email,product_update,9.12,1728,54,3
2025-04-09,google_ads,brand_search,109.69,2343,71,3
2025-04-09,google_ads,retargeting_display,243.31,5635,161,7
2025-04-09,google_ads,shopping_feed,222.19,6882,186,8
2025-04-09,meta_ads,lookalike_broad,121.1,3276,117,3
2025-04-09,meta_ads,retargeting_web,128.79,2618,77,1
2025-04-09,meta_ads,video_awareness,141.54,2860,130,2
2025-04-09,meta_ads,lead_gen_form,70.92,1530,45,1
2025-04-09,linkedin,decision_makers,57.64,165,11,0
2025-04-09,linkedin,saas_founders,119.33,858,33,0
2025-04-09,linkedin,enterprise_it,46.12,114,6,0
2025-04-09,organic,organic_traffic,0.0,2327,395,25
2025-04-09,email,welcome_drip,17.47,2244,66,3
2025-04-09,email,reactivation,14.0,2413,127,4
2025-04-09,email,weekly_newsletter,7.03,1110,30,1
2025-04-09,email,product_update,11.16,1272,53,2
2025-04-10,google_ads,brand_search,122.61,1666,49,2
2025-04-10,google_ads,competitor_kw,179.48,2040,102,4
2025-04-10,google_ads,shopping_feed,228.37,3171,151,3
2025-04-10,meta_ads,lookalike_broad,111.67,1540,77,2
2025-04-10,meta_ads,retargeting_web,83.75,1900,50,1
2025-04-10,meta_ads,video_awareness,149.29,6350,254,7
2025-04-10,meta_ads,lead_gen_form,191.91,7788,354,12
2025-04-10,linkedin,decision_makers,59.54,175,7,0
2025-04-10,linkedin,enterprise_it,99.79,225,15,0
2025-04-10,organic,organic_traffic,0.0,1865,578,6
2025-04-10,email,reactivation,15.46,2886,74,3
2025-04-10,email,product_update,10.36,1173,69,2
2025-04-11,google_ads,competitor_kw,93.89,1334,46,1
2025-04-11,google_ads,retargeting_display,180.93,5104,176,5
2025-04-11,google_ads,shopping_feed,110.7,2475,99,3
2025-04-11,meta_ads,lookalike_broad,177.56,3955,113,2
2025-04-11,meta_ads,retargeting_web,87.2,2046,62,1
2025-04-11,meta_ads,lead_gen_form,135.82,1462,86,2
2025-04-11,linkedin,decision_makers,60.85,288,8,0
2025-04-11,linkedin,saas_founders,90.76,442,17,0
2025-04-11,linkedin,enterprise_it,118.81,360,15,0
2025-04-11,organic,organic_traffic,0.0,1803,491,17
2025-04-11,email,welcome_drip,8.29,2268,63,2
2025-04-11,email,reactivation,7.48,868,31,2
2025-04-11,email,weekly_newsletter,13.22,1518,46,3
2025-04-12,google_ads,brand_search,83.69,1122,33,0
2025-04-12,google_ads,retargeting_display,91.45,1634,43,1
2025-04-12,google_ads,shopping_feed,84.02,2412,67,3
2025-04-12,meta_ads,retargeting_web,41.93,2640,80,2
2025-04-12,meta_ads,video_awareness,36.17,600,20,0
2025-04-12,meta_ads,lead_gen_form,59.74,1140,38,1
2025-04-12,linkedin,decision_makers,21.88,124,4,0
2025-04-12,linkedin,saas_founders,46.08,273,7,0
2025-04-12,linkedin,enterprise_it,27.59,180,5,0
2025-04-12,organic,organic_traffic,0.0,597,734,7
2025-04-12,email,reactivation,2.89,624,16,1
2025-04-12,email,weekly_newsletter,6.18,858,22,0
2025-04-13,google_ads,brand_search,105.71,4025,115,3
2025-04-13,google_ads,competitor_kw,99.7,1064,56,2
2025-04-13,google_ads,retargeting_display,57.69,1080,27,1
2025-04-13,google_ads,shopping_feed,68.67,595,35,1
2025-04-13,meta_ads,lookalike_broad,37.5,1554,42,0
2025-04-13,meta_ads,video_awareness,60.64,1943,67,0
2025-04-13,meta_ads,lead_gen_form,38.01,506,23,0
2025-04-13,linkedin,decision_makers,40.75,232,8,0
2025-04-13,linkedin,enterprise_it,23.83,144,4,0
2025-04-13,organic,organic_traffic,0.0,686,707,10
2025-04-13,email,welcome_drip,6.55,1080,60,2
2025-04-13,email,reactivation,6.61,750,25,1
2025-04-13,email,weekly_newsletter,3.26,312,12,0
2025-04-13,email,product_update,5.35,864,48,2
2025-04-14,google_ads,brand_search,205.56,2128,133,3
2025-04-14,google_ads,retargeting_display,97.57,1152,64,1
2025-04-14,google_ads,shopping_feed,124.56,2261,119,4
2025-04-14,meta_ads,lookalike_broad,147.99,3384,141,4
2025-04-14,meta_ads,retargeting_web,190.48,2438,106,2
2025-04-14,meta_ads,video_awareness,201.24,7296,192,2
2025-04-14,meta_ads,lead_gen_form,130.74,2160,90,3
2025-04-14,linkedin,decision_makers,91.89,364,14,0
2025-04-14,linkedin,saas_founders,67.55,396,11,0
2025-04-14,linkedin,enterprise_it,51.81,221,13,0
2025-04-14,organic,organic_traffic,0.0,2710,216,25
2025-04-14,email,welcome_drip,8.64,2016,56,2
2025-04-14,email,reactivation,18.42,2886,78,5
2025-04-14,email,weekly_newsletter,20.51,2142,102,8
2025-04-14,email,product_update,15.55,3286,106,6
2025-04-15,google_ads,brand_search,191.72,3335,145,3
2025-04-15,google_ads,retargeting_display,257.11,9240,231,5
2025-04-15,meta_ads,lookalike_broad,147.07,3576,149,1
2025-04-15,meta_ads,retargeting_web,86.76,2496,64,1
2025-04-15,meta_ads,video_awareness,165.87,2992,136,1
2025-04-15,meta_ads,lead_gen_form,202.45,5797,187,4
2025-04-15,linkedin,saas_founders,78.66,544,17,0
2025-04-15,linkedin,enterprise_it,124.69,441,21,0
2025-04-15,organic,organic_traffic,0.0,2919,484,7
2025-04-15,email,reactivation,14.33,2700,90,4
2025-04-15,email,weekly_newsletter,9.48,984,41,1
2025-04-16,google_ads,brand_search,263.98,5513,149,6
2025-04-16,google_ads,competitor_kw,189.61,3484,134,2
2025-04-16,google_ads,retargeting_display,197.97,3358,146,5
2025-04-16,google_ads,shopping_feed,87.12,1386,63,2
2025-04-16,meta_ads,lookalike_broad,169.34,1500,100,1
2025-04-16,meta_ads,retargeting_web,176.92,2147,113,2
2025-04-16,meta_ads,video_awareness,80.18,3498,106,1
2025-04-16,meta_ads,lead_gen_form,179.7,9196,242,9
2025-04-16,linkedin,decision_makers,90.76,528,22,0
2025-04-16,linkedin,saas_founders,82.66,621,23,0
2025-04-16,linkedin,enterprise_it,84.45,648,24,0
2025-04-16,organic,organic_traffic,0.0,2318,331,22
2025-04-16,email,welcome_drip,19.53,6840,190,11
2025-04-16,email,product_update,20.85,2565,95,4
2025-04-17,google_ads,brand_search,189.66,3840,128,4
2025-04-17,google_ads,competitor_kw,126.39,1938,57,2
2025-04-17,google_ads,shopping_feed,223.12,4352,136,2
2025-04-17,meta_ads,retargeting_web,129.28,2380,85,2
2025-04-17,meta_ads,video_awareness,165.31,3834,142,2
2025-04-17,linkedin,saas_founders,44.68,234,9,0
2025-04-17,organic,organic_traffic,0.0,768,412,8
2025-04-17,email,welcome_drip,19.03,2607,79,3
2025-04-17,email,weekly_newsletter,18.2,1281,61,4
2025-04-17,email,product_update,11.69,774,43,2
